X,Y,OBJECTID,SHELTER_CODE,STATUS,OS_EASTING,OS_NORTHING,CREATED_ON,STOP_STOP_ID,COUNTDOWN_SIGN,ROAD_NAME,DIRECTION,LOCALITY,TOWN,FEATURE_LOCATION,SMS_CODE,ELECTRICITY_BOARD,POST_OWNER,SHELTER_OWNER,POSTCODE,LAST_CLEANED,UPDATED_ON
530949.000000139,185023.999999485,67608,0119/5268,A,530949,185024,,2695,,MACKENZIE ROAD,W/B,ISLINGTON,LONDON,E OF LOUGH ROAD. E OF  &  OPP RHODES STREET,58549,UKPN London Hub,Transport for London,Transport for London,N7 8QX,2024/01/29 02:34:22+00,20210817042441
551088.000000329,191770.999999105,67609,0116/0192,A,551088,191771,,12416,,HAVERING ROAD,N/B,CHASE CROSS,ROMFORD,"CHASE CROSS ROAD, 72M N OF.",56091,UKPN London Hub,Transport for London,Transport for London,RM1 4HR,2024/02/15 06:00:32+00,20210817042413
551432.000000361,188431.999999262,67610,0116/0163,A,551432,188432,,52,,SOUTH STREET,S/B,,ROMFORD,"O/S 153/159.  VICTORIA ROAD, 24M N OF.  70M SOUTH OF AND OPPOSITE ROMFORD STATION",76504,UKPN London Hub,Council,Transport for London,RM1 1PL,2024/01/31 02:55:42+00,20210817042404
535035.000000169,182478.99999947,67611,0130/0289,A,535035,182479,,1845,,CAMBRIDGE HEATH ROAD,,,,,,,,,,,20210817043139
513108.000000088,175685.999999605,67612,0118/0315,A,513108,175686,,16205,,BATH ROAD,W/B,,HOUNSLOW,"O/S 92/94. HOSPITAL RD, 106 M W OF.",56933,Southern Electric,Transport for London,Transport for London,TW3 3EH,2024/01/10 00:48:29+00,20210817043006
512462.00000008,178202.999999628,67613,0118/0063,A,512462,178203,,9555,,NORTH HYDE LANE,N/B,,SOUTHALL,"QO/S 192-200, S OF AND OPP TESCO (EX- ""NORTH STAR"" PH), N OF RINGWAY",74568,Southern Electric,Transport for London,Transport for London,UB2 5SE,2024/01/23 21:05:38+00,20210817042500
535531.000000082,184877.999999472,67614,0112/1122,A,535531,184878,,11467,,MORNING LANE,S/B,,HACKNEY,OPP RIBSTONE HOUSE (FLATS) S OF FLANDERS WAY,73538,UKPN London Hub,Transport for London,Transport for London,E9  6LG,2024/02/08 03:14:55+00,20210817042942
532530.000000181,185776.999999562,67615,0112/1106,A,532530,185777,,18477,,GREEN LANES,N/B,,HACKNEY,"PETHERTON ROAD, 48.8M S OF;  O/S 139 POST OFFICE",71458,UKPN London Hub,Transport for London,Transport for London,N16  9DA,2024/01/06 00:24:36+00,20210817042929
534401.00000025,196722.999999523,67616,0110/1083,A,534401,196723,,13136,,CROWN ROAD,W/B,,ENFIELD,"GREAT CAMBRIDGE ROAD, 80M E OF (A10); OPP HOMEBASE; O/S CAR PARK SPACES G&H",72508,NO BOARD,Transport for London,Transport for London,EN1  1TH,2024/01/26 03:46:36+00,20210817042946
536708.000000165,184692.999999349,67617,0112/3046,A,536708,184693,,2114,,CHAPMAN ROAD,N/B,,HACKNEY,"TROWBRIDGE ROAD, 64M W OF & OPP;  OPP FLATS 1-7, 31B EASTWAY;  O/S EMBANKMENT OF RAILWAY VIADUCT",75410,UKPN London Hub,Transport for London,Transport for London,E9 5JB,2024/01/15 20:31:51+00,20221031113018
