X,Y,OBJECTID,STOP_NAME,STATION_NAME,DATA_SOURCE,EASTING,NORTHING,COMMENT_,DATASET_LAST_UPDATED
524514.000000073,175887.999999574,133,Putney Bridge,Putney Bridge,,524514,175888,"Station Approach
Putney Bridge
Hammersmith and Fulham SW6 3UH",2024/04/30 00:00:00+00
530358.000000117,178007.9999995,134,Vauxhall Cross,Vauxhall Cross,,530358,178008,"33 Bondway
Lambeth SW8 1SJ ",2024/04/30 00:00:00+00
531398.00000018,186789.999999561,135,"Finsbury Park, Station Place","Finsbury Park, Station Place",,531398,186790,"Station Place
Finsbury
Islington N4 2DH",2024/04/30 00:00:00+00
542732.000000193,191716.999999306,136,Edgware Bus Station,Edgware,,542732,191717,"105 Station Road
Edgeware
Barnet HA8 7AW",2024/04/30 00:00:00+00
518342.000000103,169285.999999515,137,"Kingston, Fairfield North","Kingston, Fairfield North",,518342,169286,"Fairfield North
Kingston KT1 2PG",2024/04/30 00:00:00+00
523359.000000124,178722.999999547,138,Hammersmith (Lower),Hammersmith (Lower),,523359,178723,"Broadway Centre
Hammersmith
Fulham W6 8AB",2024/04/30 00:00:00+00
523366.00000013,180346.999999551,139,Shepherds Bush Interchange,Shepherds Bush Interchange,,523366,180347,"Sheperds Bush Tube
Shepherds Bush
Fulham W12 7SL",2024/04/30 00:00:00+00
531574.000000196,189612.999999566,140,Turnpike Lane,Turnpike Lane,,531574,189613,"Carlingford Road
Haringey N15 3EA",2024/04/30 00:00:00+00
534476.00000027,193616.999999552,141,Edmonton Green,Edmonton Green,,534476,193617,"Edmonton Green Bus Station (Stop A)
Tottenham
Enfield N9 0TQ",2024/04/30 00:00:00+00
518400.000000105,169532.999999512,142,"Kingston, Cromwell Road","Kingston, Cromwell Road",,518400,169533,"406 Cromwell Road
Kingston KT2 6RF",2024/04/30 00:00:00+00
539433.000000243,181454.999999422,143,Canning Town,Canning Town,,539433,181455,"Canning Stop A
Silvertown Way
Newham E16 1ED",2024/04/30 00:00:00+00
539166.000000413,179783.999999391,144,North Greenwich,North Greenwich,,539166,179784,"North Greenwich Station
Edmund Halley Way
Greenwich SE10 0PH",2024/04/30 00:00:00+00
532260.000000111,166163.999999395,145,West Croydon,West Croydon,,532260,166164,"Station Road
Croydon CR0 2RD",2024/04/30 00:00:00+00
523368.00000013,180349.999999551,146,White City Bus Station,White City,,523368,180350,"Ariel Way
Shepherd Bush W12 7SQ",2024/04/30 00:00:00+00
514350.000000056,175962.999999594,147,Hounslow,Hounslow,,514350,175963,"Kingsley Road
Hounslow TW3 1NP",2024/04/30 00:00:00+00
535441.000000167,179483.999999489,148,Canada Water,Canada Water,,535441,179484,"Surrey Quays Road
Canada Water
Southwark SE16 7BE",2024/04/30 00:00:00+00
523359.000000124,178738.999999546,149,Hammersmith (Upper),Hammersmith (Upper),,523359,178739,"Broadway Shopping Centre
Hammersmith
Fulham W6 8AB",2024/04/30 00:00:00+00
528933.000000143,179095.999999514,150,Victoria Bus Station,Victoria,,528933,179096,"London Terminus Place
Westminter SW1V 1JR",2024/04/30 00:00:00+00
528599.000000123,178688.999999514,151,Victoria Coach Station,Victoria Coach Station,,528599,178689,"Arrivals Building Victoria Coach Station
164 Buckingham Palace Road
London SW1W 9TP",2024/04/30 00:00:00+00
531298.000000179,186890.999999562,152,"Finsbury Park, Wells Terrace","Finsbury Park, Wells Terrace",,531298,186891,"Wells Terrace
Finsbury
Islington N4 3JU",2024/04/30 00:00:00+00
537036.000000144,163850.999999177,153,Addington Village,Addington Village,,537036,163851,"3 Kent Gate Way
Addington
Croydon CR0 5AR",2024/04/30 00:00:00+00
537251.999999968,189066.999999228,154,Walthamstow,Walthamstow,,537252,189067,"Selborne Road
Waltham Forest E17 7LP",2024/04/30 00:00:00+00
533750.000000172,170840.999999506,155,Crystal Palace,Crystal Palace,,533750,170841,"Crystal Palace Bus Station
Crystal Palace Parade 
Bromley 
 SE19 1UA",2024/04/30 00:00:00+00
532866.000000168,180119.999999466,156,London Bridge,London Bridge,,532866,180120,"Joiner Street
Southwark SE1 9SP",2024/04/30 00:00:00+00
529668.000000146,182612.999999508,157,Euston,Euston,,529668,182613,"1 Eversholt Street
Camden NW1 2DN",2024/04/30 00:00:00+00
526386.000000136,192003.999999491,158,North Finchley,North Finchley,,526386,192004,"Kingsway Tally Ho Corner
Barnet N12 0BT",2024/04/30 00:00:00+00
533123.000000126,181621.999999545,159,Liverpool Street,Liverpool Street,,533123,181622,"78 Old Broad Street and Sun Street Passage
Tower Hamlets
Shoreditch EC2M 7PR",2024/04/30 00:00:00+00
515289.000000093,188108.999999585,160,Harrow on the Hill,Harrow on the Hill,,515289,188109,"College Road
Station Road
Harrow HA1 1BD",2024/04/30 00:00:00+00
525234.000000089,187450.999999552,161,Golders Green,Golders Green,,525234,187451,"North End Road
1 Station Forecourt
Barnet NW11 7RN",2024/04/30 00:00:00+00
538666.000000311,184347.999999469,162,Stratford Regional Bus Station,Stratford Regional,,538666,184348,"Great Eastern Road
Newham E15 1XJ",2024/04/30 00:00:00+00
533633.000000129,181186.99999954,163,Aldgate Bus Station,Aldgate,,533633,181187,"150 The Minories
Algate
Tower Hamlets EC3N 1BD",2024/04/30 00:00:00+00
536258.000000187,200358.999999434,164,Waltham Cross,Waltham Cross,,536258,200359,"Eleanor Cross Road
Broxbourne EN8 7LA",2024/04/30 00:00:00+00
523234.000000418,187801.999999694,165,Brent Cross Bus Station-Shopping Centre,Brent Cross-Shopping Centre,,523234,187802,"Brent Cross Shopping Centre
Prince Charles Drive
Barnet NW4 3FB",2024/04/30 00:00:00+00
