X,Y,NAME,OBJECTID,STATUS,Latitude,Longitude
530126.0,178041.0,St. George Wharf Pier,1,Current,51.48635698549222,-0.12726126278281974
531499.0,180787.0,Blackfriars Pier,2,Current,51.510716772978824,-0.1064757843115811
543845.0,179473.0,Woolwich Royal Arsenal Pier,3,Current,51.49590446364641,0.07077658884847217
539551.0,180056.0,North Greenwich Pier,4,Current,51.502218597915025,0.009191005650298456
538365.0,178017.0,Greenwich Pier,5,Current,51.484187389784026,-0.008683814851397848
537421.0,178343.0,Masthouse Terrace Pier,6,Current,51.48734681931587,-0.022143628646032063
536729.0,179154.0,Greenland Pier,7,Current,51.49480218792319,-0.03179016855359311
533426.0625,180461.906300001,Tower Pier,8,Current,51.50734400862954,-0.07884614518415518
533035.0,180404.0,London Bridge City Pier,9,Current,51.506915751541186,-0.08449942745057429
530546.0,179949.0,London Eye Pier,10,Current,51.50340677375265,-0.12051057978106161
536894.0,180336.0,Canary Wharf Pier,11,Current,51.505383913658896,-0.028956595837597857
534959.0417,180027.179199999,Wapping Pier,12,Current,51.503073734484424,-0.056937114118729384
532153.0,180590.0,Bankside Pier,13,Current,51.508793994900046,-0.09713090704887148
530294.0,178657.0,Millbank Pier,14,Current,51.49185412359268,-0.12461590238205157
536701.0,180235.0,Doubletree Docklands Nelson Dock Pier,15,Current,51.50452298783496,-0.03177477957763842
530504.0,180404.0,Embankment Pier,16,Current,51.507505375028,-0.1209471510163414
524054.0,175775.0,Putney Pier,17,Current,51.46735543731516,-0.21546103832705926
525247.0,175348.0,Wandsworth Riverside Quarter Pier,18,Current,51.463255434871684,-0.19844637005575044
526504.0,176575.0,Chelsea Harbour Pier,19,Current,51.47400316480979,-0.17992272047412564
527421.0,177585.0,Cadogan Pier,20,Current,51.482874340834215,-0.16636254518140917
538778.4847,180544.947799999,New Providence Wharf Pier,21,Proposed,51.50680231388075,-0.0017395079056598487
538715.35,179795.25,North Grenwich West Pier,22,Proposed,51.500081022433235,-0.0029431848794673463
533799.4161,180321.627499999,St Katharine Pier,23,Current,51.505995217455514,-0.07352290368889944
530726.4774,180352.6984,Festival Pier,24,Current,51.50699297349988,-0.1177623102894354
543241.7147,179372.4814,Woolwich Ferry South Terminal,25,Current,51.49515428454833,0.06205122197745905
543146.4645,179658.231899999,Woolwich Ferry North Terminal,26,Current,51.497746042491734,0.060795883583158954
517612.8824,174670.0822,Richmond St. Helena Pier,27,Current,51.45879887822813,-0.3085124511240225
515312.0633,168482.7489,Hampton Court Pier,28,Current,51.403661217303394,-0.34362688932742697
530361.481,179760.2524,Westminster Pier,29,Current,51.501753118896055,-0.12323724856008753
526355.2082,175769.5144,Plantation Wharf Pier,30,Current,51.46679749892348,-0.18235166186002913
519068.0395,177798.819700001,Kew Pier,31,Current,51.48661446063826,-0.28652420181999766
517856.8407,174407.912900001,Richmond Landing Stage Pier,32,Current,51.45639191929966,-0.30508993195604683
517765.1889,169436.9091,Kingston Turks Pier,33,Current,51.411733387554875,-0.30805984776238776
517746.668,168737.6139,Kingston Town End Pier,34,Current,51.40545218606959,-0.3085579659796272
528821.1563,177723.6624,Battersea Pier,35,Proposed,51.48380360107408,-0.14615921501528942
