$type,id,displayName,statusSeverity,statusSeverityDescription,bounds,envelope,url,group
"Tfl.Api.Presentation.Entities.RoadCorridor, Tfl.Api.Presentation.Entities",a1,A1,Good,No Exceptional Delays,"[[-0.25616,51.5319],[-0.10234,51.6562]]","[[-0.25616,51.5319],[-0.25616,51.6562],[-0.10234,51.6562],[-0.10234,51.5319],[-0.25616,51.5319]]",/Road/a1,
"Tfl.Api.Presentation.Entities.RoadCorridor, Tfl.Api.Presentation.Entities",a10,A10,Good,No Exceptional Delays,"[[-0.08703,51.52719],[-0.04999,51.68256]]","[[-0.08703,51.52719],[-0.08703,51.68256],[-0.04999,51.68256],[-0.04999,51.52719],[-0.08703,51.52719]]",/Road/a10,
"Tfl.Api.Presentation.Entities.RoadCorridor, Tfl.Api.Presentation.Entities",a12,A12,Good,No Exceptional Delays,"[[-0.07183,51.51187],[0.28532,51.60844]]","[[-0.07183,51.51187],[-0.07183,51.60844],[0.28532,51.60844],[0.28532,51.51187],[-0.07183,51.51187]]",/Road/a12,
"Tfl.Api.Presentation.Entities.RoadCorridor, Tfl.Api.Presentation.Entities",a13,A13,Good,No Exceptional Delays,"[[-0.07183,51.49995],[0.22918,51.53299]]","[[-0.07183,51.49995],[-0.07183,51.53299],[0.22918,51.53299],[0.22918,51.49995],[-0.07183,51.49995]]",/Road/a13,
"Tfl.Api.Presentation.Entities.RoadCorridor, Tfl.Api.Presentation.Entities",a2,A2,Good,No Exceptional Delays,"[[-0.0857,51.44091],[0.17118,51.49438]]","[[-0.0857,51.44091],[-0.0857,51.49438],[0.17118,51.49438],[0.17118,51.44091],[-0.0857,51.44091]]",/Road/a2,
"Tfl.Api.Presentation.Entities.RoadCorridor, Tfl.Api.Presentation.Entities",a20,A20,Good,No Exceptional Delays,"[[-0.11925,51.40825],[0.14918,51.48643]]","[[-0.11925,51.40825],[-0.11925,51.48643],[0.14918,51.48643],[0.14918,51.40825],[-0.11925,51.40825]]",/Road/a20,
"Tfl.Api.Presentation.Entities.RoadCorridor, Tfl.Api.Presentation.Entities",a205,South Circular (A205),Serious,Serious Delays,"[[-0.27716,51.43917],[0.06343,51.49446]]","[[-0.27716,51.43917],[-0.27716,51.49446],[0.06343,51.49446],[0.06343,51.43917],[-0.27716,51.43917]]",/Road/a205,
"Tfl.Api.Presentation.Entities.RoadCorridor, Tfl.Api.Presentation.Entities",a21,A21,Good,No Exceptional Delays,"[[-0.0206,51.34431],[0.13667,51.46431]]","[[-0.0206,51.34431],[-0.0206,51.46431],[0.13667,51.46431],[0.13667,51.34431],[-0.0206,51.34431]]",/Road/a21,
"Tfl.Api.Presentation.Entities.RoadCorridor, Tfl.Api.Presentation.Entities",a23,A23,Good,No Exceptional Delays,"[[-0.15116,51.30046],[-0.08378,51.48847]]","[[-0.15116,51.30046],[-0.15116,51.48847],[-0.08378,51.48847],[-0.08378,51.30046],[-0.15116,51.30046]]",/Road/a23,
"Tfl.Api.Presentation.Entities.RoadCorridor, Tfl.Api.Presentation.Entities",a24,A24,Good,No Exceptional Delays,"[[-0.23393,51.33958],[-0.10287,51.49159]]","[[-0.23393,51.33958],[-0.23393,51.49159],[-0.10287,51.49159],[-0.10287,51.33958],[-0.23393,51.33958]]",/Road/a24,
"Tfl.Api.Presentation.Entities.RoadCorridor, Tfl.Api.Presentation.Entities",a3,A3,Serious,Serious Delays,"[[-0.32751,51.32598],[-0.12639,51.48473]]","[[-0.32751,51.32598],[-0.32751,51.48473],[-0.12639,51.48473],[-0.12639,51.32598],[-0.32751,51.32598]]",/Road/a3,
"Tfl.Api.Presentation.Entities.RoadCorridor, Tfl.Api.Presentation.Entities",a316,A316,Good,No Exceptional Delays,"[[-0.40767,51.4238],[-0.25245,51.48697]]","[[-0.40767,51.4238],[-0.40767,51.48697],[-0.25245,51.48697],[-0.25245,51.4238],[-0.40767,51.4238]]",/Road/a316,
"Tfl.Api.Presentation.Entities.RoadCorridor, Tfl.Api.Presentation.Entities",a4,A4,Good,No Exceptional Delays,"[[-0.50067,51.44671],[-0.15236,51.50294]]","[[-0.50067,51.44671],[-0.50067,51.50294],[-0.15236,51.50294],[-0.15236,51.44671],[-0.50067,51.44671]]",/Road/a4,
"Tfl.Api.Presentation.Entities.RoadCorridor, Tfl.Api.Presentation.Entities",a40,A40,Good,No Exceptional Delays,"[[-0.47478,51.51388],[-0.17014,51.55944]]","[[-0.47478,51.51388],[-0.47478,51.55944],[-0.17014,51.55944],[-0.17014,51.51388],[-0.47478,51.51388]]",/Road/a40,
